rank,flow_type,ticker,market_cap,stock_price,category,is_etf,aum,bullish_flow,bearish_flow,total_volume,net_flow,volatility,relative_flow,flow_score
1,Bullish,AEO,4546312000.92,26.82,mid_cap,False,,31489302.51108495,12620884.338592181,71896,18868418.172492772,0.6328019002025467,1953725.8159303197,331179.98223233526
2,Bullish,OPEN,6953115387.51,7.29,mid_cap,False,,5522221.943163987,2667220.0847712043,522592,2855001.858392783,0.8986852911580469,290078.2165966914,276673.1565706329
3,Bullish,EOSE,4952220175.12,15.28,mid_cap,False,,3802300.257035409,1466322.74325758,100332,2335977.513777829,1.003034506248107,240951.59539141538,78091.97329350252
4,Bullish,AG,9266445269.85,18.91,mid_cap,False,,2740868.805354289,1299373.7266739788,73658,1441495.07868031,0.6410358579630145,144628.03626493426,70871.90811924348
5,Bullish,ZIM,2698248224.0,22.4,mid_cap,False,,7106491.291604807,2456991.7585730287,26454,4649499.533031778,0.4880244461676678,492997.4718056375,59385.2478900023
6,Bullish,CORZ,5314450682.0,17.14,mid_cap,False,,2172800.4100922705,988883.3875535404,121188,1183917.02253873,0.6727370663753602,121733.8017539424,37744.94082576966
7,Bullish,LQDA,3119658020.38,35.86,mid_cap,False,,5486161.476514858,2421809.1839750875,70224,3064352.2925397707,0.6708476777102178,322763.61495881685,28078.976578168298
8,Bullish,SOUN,4936126366.75,11.75,mid_cap,False,,1353751.6388532524,976562.1213990831,98439,377189.51745416934,0.5632345054141552,38912.048584069395,16346.790553198465
9,Bullish,ZETA,6000358866.799999,24.4,mid_cap,False,,920422.4914104583,409182.2711625894,45696,511240.220247869,0.6053869649415016,52283.7956881777,12857.44004293101
10,Bullish,PL,7123325813.91,22.71,mid_cap,False,,684013.3406693296,384965.8459227656,18463,299047.494746564,1.1851402770669832,30351.884917412463,9520.315514444288
1,Bearish,BULL,4245370398.7200003,8.46,mid_cap,False,,1537445.7145361584,4773741.177867403,47318,-3236295.463331245,0.49969853938041675,-336136.6677913243,-168679.03775007883
2,Bearish,DUOL,8166524887.62,176.66,mid_cap,False,,12728980.997070845,36275172.81788945,14146,-23546191.820818607,0.42865376416618445,-2375514.8545249873,-109813.77323892966
3,Bearish,ETSY,6107927775.04,61.88,mid_cap,False,,4632805.9494576,14329725.470142769,19655,-9696919.52068517,0.29867315615366063,-990907.8952559822,-97808.56263640014
4,Bearish,CIFR,6570380858.0199995,16.63,mid_cap,False,,2226854.489700252,3982284.909931905,133960,-1755430.420231653,0.926516183343205,-178804.60712476893,-70644.27949358798
5,Bearish,ENPH,4608878950.98,35.22,mid_cap,False,,2084653.979608249,6221956.78403169,20289,-4137302.804423441,0.3520133894722386,-428132.8713796603,-56025.34296207677
6,Bearish,ONDS,5279536931.95,13.69,mid_cap,False,,2840146.409061144,4176149.1481966013,249115,-1336002.7391354572,1.2350363846383103,-137412.144059761,-52992.87724338509
7,Bearish,CLF,7269467291.68,12.76,mid_cap,False,,593241.5411903993,1327394.5251406417,44979,-734152.9839502424,0.47697421994837547,-74446.36124026481,-42412.64796400461
8,Bearish,SMR,5801119815.820001,20.51,mid_cap,False,,1593100.0034262354,3023040.49580923,137261,-1429940.4923829946,1.0591094132608385,-146457.59809421052,-41424.577010323075
9,Bearish,CPB,7879688095.35,26.43,mid_cap,False,,638016.1983339998,1874403.2183488845,14272,-1236387.0200148846,0.26275523241794846,-124931.63161304484,-37246.397667573256
10,Bearish,ELF,5189591551.36,87.02,mid_cap,False,,2917891.929408063,8382446.430501548,14165,-5464554.501093484,0.4379900807900438,-562478.5992155445,-33544.405726382414
